month,overall_coverage,minimum_sector_coverage,provenance_rate
2009-01,0.0,0.0,0.0
2009-02,0.0,0.0,0.0
2009-03,0.0,0.0,0.0
2009-04,0.007792207792207792,0.0,1.0
2009-05,0.02077922077922078,0.0,1.0
2009-06,0.025839793281653745,0.0,1.0
2009-07,0.21649484536082475,0.0,1.0
2009-08,0.5424164524421594,0.0,1.0
2009-09,0.6041131105398457,0.0,1.0
2009-10,0.6452442159383034,0.0,1.0
2009-11,0.6760925449871465,0.0,1.0
2009-12,0.6812339331619537,0.0,1.0
2010-01,0.6846153846153846,0.0,1.0
2010-02,0.6863753213367609,0.0,1.0
2010-03,0.6881443298969072,0.5,1.0
2010-04,0.7124352331606217,0.5432098765432098,1.0
2010-05,0.7116883116883117,0.0,1.0
2010-06,0.7116883116883117,0.0,1.0
2010-07,0.741514360313316,0.6463414634146342,1.0
2010-08,0.8590078328981723,0.7560975609756098,1.0
2010-09,0.8877284595300261,0.8170731707317073,1.0
2010-10,0.9086161879895561,0.8536585365853658,1.0
2010-11,0.9190600522193212,0.8780487804878049,1.0
2010-12,0.9242819843342036,0.8780487804878049,1.0
2011-01,0.9321148825065274,0.8780487804878049,1.0
2011-02,0.9268929503916449,0.8780487804878049,1.0
2011-03,0.9322916666666666,0.8780487804878049,1.0
2011-04,0.9399477806788512,0.9215686274509803,1.0
2011-05,0.9425587467362925,0.9024390243902439,1.0
2011-06,0.9373368146214099,0.9024390243902439,1.0
2011-07,0.9399477806788512,0.9024390243902439,1.0
2011-08,0.9347258485639687,0.9125,1.0
2011-09,0.9295039164490861,0.9125,1.0
2011-10,0.9295039164490861,0.9024390243902439,1.0
2011-11,0.9296875,0.9024390243902439,1.0
2011-12,0.921875,0.9024390243902439,1.0
2012-01,0.9244791666666666,0.9024390243902439,1.0
2012-02,0.921875,0.8902439024390244,1.0
2012-03,0.9244791666666666,0.9024390243902439,1.0
2012-04,0.9244791666666666,0.875,1.0
2012-05,0.9244791666666666,0.9,1.0
2012-06,0.9192708333333334,0.896551724137931,1.0
2012-07,0.9246753246753247,0.891566265060241,1.0
2012-08,0.9246753246753247,0.9,1.0
2012-09,0.922077922077922,0.8780487804878049,1.0
2012-10,0.9168831168831169,0.8292682926829268,1.0
2012-11,0.9064935064935065,0.8536585365853658,1.0
2012-12,0.9116883116883117,0.8588235294117647,1.0
2013-01,0.9222797927461139,0.8588235294117647,1.0
2013-02,0.9244791666666666,0.8658536585365854,1.0
2013-03,0.921875,0.8658536585365854,1.0
2013-04,0.9244791666666666,0.875,1.0
2013-05,0.9216710182767625,0.8571428571428571,1.0
2013-06,0.9190600522193212,0.8554216867469879,1.0
2013-07,0.9295039164490861,0.8674698795180723,1.0
2013-08,0.9244791666666666,0.8888888888888888,1.0
2013-09,0.9248704663212435,0.8888888888888888,1.0
2013-10,0.9248704663212435,0.8888888888888888,1.0
2013-11,0.9224806201550387,0.8333333333333334,1.0
2013-12,0.9119170984455959,0.8333333333333334,1.0
2014-01,0.917098445595855,0.8333333333333334,1.0
2014-02,0.9222797927461139,0.8333333333333334,1.0
2014-03,0.9147286821705426,0.8333333333333334,1.0
2014-04,0.9145077720207254,0.8518518518518519,1.0
2014-05,0.9454545454545454,0.9,1.0
2014-06,0.9401041666666666,0.9,1.0
2014-07,0.9375,0.9,1.0
2014-08,0.9401041666666666,0.9,1.0
2014-09,0.9375,0.9,1.0
2014-10,0.9375,0.9,1.0
2014-11,0.9375,0.9,1.0
2014-12,0.9401041666666666,0.896551724137931,1.0
2015-01,0.9375,0.896551724137931,1.0
2015-02,0.9348958333333334,0.896551724137931,1.0
2015-03,0.9267015706806283,0.8620689655172413,1.0
2015-04,0.9345549738219895,0.8909090909090909,1.0
2015-05,0.9345549738219895,0.8909090909090909,1.0
2015-06,0.9319371727748691,0.8909090909090909,1.0
2015-07,0.9295039164490861,0.875,1.0
2015-08,0.9321148825065274,0.8928571428571429,1.0
2015-09,0.9295039164490861,0.8727272727272727,1.0
